word,count
us,12
later,13
experiments,43
possibly,5
excellent,7
propagated,7
consisting,11
exclusively,12
wild,24
equal,61
numbers,28
collected,21
umbels,16
stations,8
taking,4
could,76
perceived,4
meaning,8
above-described,4
careful,4
detail,4
occurred,12
masculine,7
1860,4
wood,4
gathered,8
weighed,8
lots,14
table,127
column,177
weight,32
33,13
83,18
13,39
51,9
91,11
compare,6
get,8
12,38
41,9
70,9
34,11
standards,10
comparison,21
take,8
standard,45
equalised,5
proportion,48
trial,4
transplanted,9
previous,17
bed,5
47,15
58,8
figures,12
14,32
favourable,26
grew,30
soil,14
consequently,20
nevertheless,30
relative,28
product,22
excess,8
looking,4
safely,5
conclude,10
productive,9
holds,14
prove,6
reverse,7
covered,33
net,32
turned,6
follows--,4
15,38
24,15
grain,7
50,12
74,8
judging,21
exposed,17
round,9
six,83
eighteen,18
action,17
thrips,12
insect,12
scarcely,8
additional,5
ten,56
greenhouse,15
absolutely,15
withered,9
ovarium,17
lower,31
dragged,5
partially,6
rather,72
visited,36
secrete,6
plenty,12
nectar,20
bees,32
b,8
hortorum,4
sucking,6
1874,5
111,6
moths,6
visit,8
act,11
readily,7
thin,8
object,4
inserted,4
level,37
distance,10
90,13
higher,11
favours,4
deposited,5
follows,11
position,37
proboscis,13
thick,7
visiting,10
base,5
way,18
extremity,5
accordance,12
recognised,4
microscope,8
adhered,4
proboscides,6
humble-bees,9
regularly,6
carried,13
reciprocally,10
fertilise,32
leave,9
likely,9
occur,11
cause,25
facts,22
try,4
effects,17
possible,34
union,203
clear,5
formerly,16
applied,9
tried,14
fair,9
avoid,8
used,6
fine,25
nets,7
access,9
subsequent,5
followed,4
accurate,5
counting,5
contained,117
excluded,19
16,25
22,16
88,16
62,14
21,22
49,12
30,23
35,19
27,17
137,8
54,12
results,52
17,31
comparing,6
bad,19
secondly,10
thirdly,5
71,15
45,14
31,12
short-,34
yield,61
ie,11
proportional,16
complement,11
represented,12
consider,5
53,19
find,19
48,9
poor,38
rejected,10
judged,23
average,303
per,133
capsule,127
methods,9
combined,6
show,29
separately,7
accidentally,7
hot,6
remained,7
eleven,17
germinated,15
least,24
parallel,6
indeed,9
require,5
approximately,6
powers,19
unite,10
shed,4
protruded,6
wide,8
imperfectly,5
must,64
belonging,36
attributed,9
grown,11
lessened,9
gartner,17
estimated,5
1849,5
64,15
lychnitis,14
yielding,11
63,15
81,4
66,16
relatively,9
crosses,14
pure,21
illustration,5
crossed,66
hirsuta,11
93,22
sufficiently,4
obvious,5
work,7
cross,26
self-fertilisation',6
intercrossed,10
height,32
vigour,4
recur,4
placed,40
fall,11
advantage,9
parent,18
constitution,13
hours,22
afterwards,22
prepotent,5
effect,7
hardly,41
even,40
belief,15
twenty-four,13
added,17
exception,15
bore,23
previously,14
finally,9
remark,5
already,25
